ImageID,Source,LabelName,Confidence,XMin,XMax,YMin,YMax,IsOccluded,IsTruncated,IsGroupOf,IsDepiction,IsInside,XClick1X,XClick2X,XClick3X,XClick4X,XClick1Y,XClick2Y,XClick3Y,XClick4Y
0000048549557964,xclick,/m/0k4j,1,0.435,0.725625,0.698333,0.944167,0,0,0,0,0,0.435,0.725625,0.609375,0.585625,0.871667,0.815,0.698333,0.944167
0000575f5a03db70,xclick,/m/0k4j,1,0.026563,0.982813,0.164127,0.83939,0,0,0,0,0,0.982813,0.026563,0.273438,0.572656,0.574443,0.627198,0.164127,0.83939
00005bf623ff1ac2,xclick,/m/0k4j,1,0.036719,0.974219,0.133646,0.924971,0,0,0,0,0,0.036719,0.374219,0.536719,0.974219,0.431419,0.133646,0.924971,0.713951
000096726fd6c6c8,xclick,/m/0k4j,1,0.15,0.7925,0.1625,0.999167,0,0,0,0,0,0.15,0.656875,0.7925,0.734375,0.713333,0.1625,0.863333,0.999167
00010bf498b64bab,xclick,/m/0k4j,1,0.02625,0.1675,0.491657,0.622914,0,0,0,0,0,0.058125,0.131875,0.1675,0.02625,0.491657,0.622914,0.573971,0.592881
00010bf498b64bab,xclick,/m/0k4j,1,0.57875,0.696875,0.498331,0.670745,0,0,0,0,0,0.57875,0.67375,0.696875,0.643125,0.598443,0.498331,0.533927,0.670745
0001124e2d5104e1,xclick,/m/0k4j,1,0.015625,0.94,0.023529,0.993725,0,0,0,0,0,0.671875,0.015625,0.7375,0.94,0.023529,0.689412,0.993725,0.24549
0001c626b9afb50c,xclick,/m/0k4j,1,0.109375,0.8875,0.206161,0.815166,0,0,0,0,0,0.56875,0.8875,0.690625,0.109375,0.206161,0.627962,0.815166,0.57346
0001c6bf48e16ab2,xclick,/m/0k4j,1,0.12375,0.923125,0.449967,0.906561,0,0,0,0,0,0.6075,0.12375,0.519375,0.923125,0.449967,0.744864,0.906561,0.722333
0001c8c65851276f,xclick,/m/0k4j,1,0.06625,0.901875,0.318692,0.73271,0,0,0,0,0,0.448125,0.06625,0.26625,0.901875,0.318692,0.575701,0.73271,0.659813
000228608388803f,xclick,/m/0k4j,1,0.01875,0.950625,0.204167,0.931667,0,0,0,0,0,0.01875,0.5775,0.950625,0.601875,0.763333,0.204167,0.565833,0.931667
0002a5b67e5f0909,xclick,/m/0k4j,1,0.23625,0.695625,0.395833,0.771667,0,0,0,0,0,0.51,0.23625,0.695625,0.55125,0.395833,0.678333,0.600833,0.771667
00036603fa39fa85,xclick,/m/0k4j,1,0.0025,0.10625,0.35,0.472222,0,0,0,0,0,0.036875,0.10625,0.040625,0.0025,0.35,0.376667,0.472222,0.395556
00036603fa39fa85,xclick,/m/0k4j,1,0.1125,0.1625,0.297778,0.365556,0,0,0,0,0,0.131875,0.139375,0.1625,0.1125,0.365556,0.297778,0.313333,0.343333
0003b0bf24238450,xclick,/m/0k4j,1,0.2725,0.349375,0.555249,0.598527,0,0,0,0,0,0.300625,0.2725,0.349375,0.33875,0.555249,0.582873,0.586556,0.598527
0003b0bf24238450,xclick,/m/0k4j,1,0.443125,0.725625,0.621547,0.843462,0,0,0,0,0,0.54375,0.725625,0.515625,0.443125,0.621547,0.744936,0.843462,0.746777
0003def0d18d8807,xclick,/m/0k4j,1,0.0,0.999375,0.155,0.999167,0,0,0,0,0,0.61,0.999375,0.81125,0.0,0.155,0.3825,0.999167,0.671667
00041cc3701f7805,xclick,/m/0k4j,1,0.589501,0.761618,0.541667,0.765625,0,0,0,0,0,0.643718,0.589501,0.761618,0.623064,0.541667,0.658854,0.705729,0.765625
00041cc3701f7805,xclick,/m/0k4j,1,0.870052,0.977625,0.682292,0.990885,0,0,0,0,0,0.974182,0.870052,0.900172,0.977625,0.682292,0.84375,0.990885,0.682292
00043e7c5c4c025a,xclick,/m/0k4j,1,0.25,0.935,0.281667,0.830833,0,0,0,0,0,0.25,0.66875,0.935,0.515,0.700833,0.281667,0.650833,0.830833
00049e69cdd23a3d,xclick,/m/0k4j,1,0.093125,0.93125,0.0394,0.857411,0,0,0,0,0,0.51375,0.93125,0.55375,0.093125,0.0394,0.354597,0.857411,0.56848
0004d295cfb46842,xclick,/m/0k4j,1,0.15375,0.255,0.607345,0.664783,0,0,0,0,0,0.191875,0.21,0.15375,0.255,0.607345,0.664783,0.642185,0.638418
0004d295cfb46842,xclick,/m/0k4j,1,0.543125,0.654375,0.618644,0.695857,0,0,0,0,0,0.601875,0.604375,0.543125,0.654375,0.618644,0.695857,0.669492,0.664783
0004d295cfb46842,xclick,/m/0k4j,1,0.82625,0.859375,0.599812,0.630885,0,0,0,0,0,0.845625,0.851875,0.82625,0.859375,0.599812,0.630885,0.630885,0.616761
0004d5a9dd44ab6a,xclick,/m/0k4j,1,0.088125,0.8875,0.163093,0.951761,0,0,0,0,0,0.088125,0.364375,0.8875,0.29125,0.54441,0.163093,0.767994,0.951761
00052b203c5dad30,xclick,/m/0k4j,1,0.1025,0.916875,0.550222,0.841778,0,0,0,0,0,0.56875,0.1025,0.700625,0.916875,0.550222,0.805333,0.841778,0.727111
00054dab88635bdb,xclick,/m/0k4j,1,0.2525,0.791875,0.333333,0.801667,0,0,0,0,0,0.2525,0.355,0.791875,0.5175,0.451667,0.801667,0.628333,0.333333
00054dab88635bdb,xclick,/m/0k4j,1,0.71,0.93,0.305,0.516667,0,0,0,0,0,0.839375,0.71,0.93,0.8625,0.305,0.440833,0.408333,0.516667
00058138dc1ecd17,xclick,/m/0k4j,1,0.179375,0.640625,0.405253,0.685741,0,0,0,0,0,0.179375,0.339375,0.57375,0.640625,0.579737,0.405253,0.685741,0.599437
00060e9fc35e660c,xclick,/m/0k4j,1,0.084375,0.814375,0.105066,0.79925,0,0,0,0,0,0.57,0.084375,0.57125,0.814375,0.105066,0.58349,0.79925,0.379925
0006176101d9d341,xclick,/m/0k4j,1,0.07934,0.825609,0.255348,0.799465,0,0,0,0,0,0.683425,0.825609,0.07934,0.626866,0.255348,0.360963,0.671123,0.799465
000692d348b0f181,xclick,/m/0k4j,1,0.20625,0.51125,0.586411,0.865583,0,0,0,0,0,0.20625,0.47125,0.51125,0.346875,0.79616,0.865583,0.779911,0.586411
000692d348b0f181,xclick,/m/0k4j,1,0.599375,0.98375,0.559823,0.859675,0,0,0,0,0,0.599375,0.915625,0.8825,0.98375,0.759232,0.859675,0.559823,0.716396
00069668b6542934,xclick,/m/0k4j,1,0.271204,0.487958,0.148206,0.319813,0,0,0,0,0,0.441885,0.487958,0.292147,0.271204,0.148206,0.24649,0.319813,0.276131
0006c87d3735fcef,xclick,/m/0k4j,1,0.460833,0.559167,0.722149,0.825688,0,0,0,0,0,0.460833,0.544167,0.559167,0.536667,0.781127,0.825688,0.769332,0.722149
0006c87d3735fcef,xclick,/m/0k4j,1,0.65,0.675,0.730013,0.771953,0,0,0,0,0,0.65,0.663333,0.675,0.659167,0.748362,0.730013,0.753604,0.771953
00071c51c8e92a68,xclick,/m/0k4j,1,0.391875,0.46875,0.38875,0.6075,0,0,0,0,0,0.39875,0.46875,0.443125,0.391875,0.38875,0.525625,0.6075,0.43
00071c51c8e92a68,xclick,/m/0k4j,1,0.39875,0.44125,0.078125,0.166875,0,0,0,0,0,0.415625,0.39875,0.44125,0.438125,0.078125,0.106875,0.13125,0.166875
00071c51c8e92a68,xclick,/m/0k4j,1,0.60375,0.7675,0.283125,0.37375,0,0,0,0,0,0.630625,0.7675,0.655,0.60375,0.283125,0.33625,0.37375,0.34625
0007870724402b51,xclick,/m/0k4j,1,0.070356,0.922139,0.26375,0.86375,0,0,0,0,0,0.472795,0.618199,0.070356,0.922139,0.26375,0.86375,0.48625,0.493125
0007bd7afaaf5415,xclick,/m/0k4j,1,0.53625,0.5775,0.424268,0.474477,0,0,0,0,0,0.53625,0.5675,0.5775,0.558125,0.461925,0.424268,0.437657,0.474477
0007bd7afaaf5415,xclick,/m/0k4j,1,0.695625,0.955625,0.43682,0.661925,0,0,0,0,0,0.955625,0.85125,0.695625,0.755,0.543933,0.43682,0.592469,0.661925
0007bd7afaaf5415,xclick,/m/0k4j,1,0.870625,0.999375,0.536402,0.937239,0,0,0,0,0,0.870625,0.999375,0.999375,0.999375,0.656904,0.937239,0.937239,0.536402
0007efdd465a14b8,xclick,/m/0k4j,1,0.80625,0.8375,0.24262,0.278598,0,0,0,0,0,0.815625,0.80625,0.813125,0.8375,0.24262,0.25369,0.278598,0.26476
000823904818a6c4,xclick,/m/0k4j,1,0.006875,0.978125,0.02454,0.97955,0,0,0,0,0,0.268125,0.006875,0.403125,0.978125,0.02454,0.306748,0.97955,0.644172
000823c3bde83d9a,xclick,/m/0k4j,1,0.038125,0.898125,0.104167,0.734167,0,0,0,0,0,0.314375,0.038125,0.45,0.898125,0.104167,0.265833,0.734167,0.475833
00082426f9139dd0,xclick,/m/0k4j,1,0.329688,0.40625,0.560938,0.614062,0,0,0,0,0,0.40625,0.395313,0.329688,0.353125,0.578125,0.614062,0.604688,0.560938
00082426f9139dd0,xclick,/m/0k4j,1,0.435937,0.459375,0.560938,0.58125,0,0,0,0,0,0.459375,0.457813,0.435937,0.442188,0.570312,0.58125,0.573438,0.560938
00082426f9139dd0,xclick,/m/0k4j,1,0.510938,0.55625,0.560938,0.59375,0,0,0,0,0,0.51875,0.510938,0.521875,0.55625,0.59375,0.573438,0.560938,0.585938
000883b46adeca7e,xclick,/m/0k4j,1,0.06125,0.96875,0.179785,0.910522,0,0,0,0,0,0.06125,0.466875,0.96875,0.358125,0.446562,0.910522,0.62966,0.179785
00088e25af342aa4,xclick,/m/0k4j,1,0.13125,0.5575,0.576662,0.922659,0,0,0,0,0,0.331875,0.5575,0.318125,0.13125,0.576662,0.721845,0.922659,0.774763
0008bf2677041a02,xclick,/m/0k4j,1,0.06875,0.915625,0.102156,0.910965,0,0,0,0,0,0.06875,0.414375,0.915625,0.7925,0.534208,0.102156,0.75164,0.910965
000998c7ed279358,xclick,/m/0k4j,1,0.018125,0.528125,0.705441,0.947467,0,0,0,0,0,0.528125,0.44375,0.018125,0.210625,0.861163,0.947467,0.847092,0.705441
0009c4ddcaab18d3,xclick,/m/0k4j,1,0.0475,0.94625,0.16,0.854167,0,0,0,0,0,0.35625,0.0475,0.461875,0.94625,0.16,0.4025,0.854167,0.53
000a8a98e1de3e25,xclick,/m/0k4j,1,0.759375,0.963125,0.626573,0.837762,0,0,0,0,0,0.759375,0.85125,0.963125,0.855,0.700699,0.626573,0.784615,0.837762
000b0f235dcf2caa,xclick,/m/0k4j,1,0.80125,0.88375,0.844615,0.998462,0,0,0,0,0,0.851875,0.88375,0.814375,0.80125,0.844615,0.923077,0.998462,0.932308
000b393437134262,xclick,/m/0k4j,1,0.11125,0.90125,0.090056,0.939024,0,0,0,0,0,0.11125,0.494375,0.90125,0.708125,0.640713,0.939024,0.428705,0.090056
000b393437134262,xclick,/m/0k4j,1,0.89875,0.9275,0.232645,0.271107,0,0,0,0,0,0.909375,0.9275,0.89875,0.918125,0.232645,0.247655,0.269231,0.271107
000b393437134262,xclick,/m/0k4j,1,0.904375,0.973125,0.188555,0.382739,0,0,0,0,0,0.968125,0.904375,0.93,0.973125,0.190432,0.342402,0.382739,0.188555
000bcee5bed5446b,xclick,/m/0k4j,1,0.165258,0.249765,0.508125,0.54875,0,0,0,0,0,0.175587,0.216901,0.165258,0.249765,0.508125,0.54875,0.53375,0.52125
000bcee5bed5446b,xclick,/m/0k4j,1,0.606573,0.661033,0.4925,0.53,0,0,0,0,0,0.62723,0.642254,0.606573,0.661033,0.4925,0.53,0.513125,0.509375
