ImageID,Source,LabelName,Confidence,XMin,XMax,YMin,YMax,IsOccluded,IsTruncated,IsGroupOf,IsDepiction,IsInside,XClick1X,XClick2X,XClick3X,XClick4X,XClick1Y,XClick2Y,XClick3Y,XClick4Y
00007902a7b96e8c,xclick,/m/03bt1vf,1,0.051661,0.813653,0.149086,0.933193,0,0,0,0,0,0.48524,0.813653,0.051661,0.458487,0.149086,0.488045,0.678622,0.933193
0001a17a69ddeead,xclick,/m/03bt1vf,1,0.401875,0.454375,0.758621,0.886973,0,0,0,0,0,0.416875,0.401875,0.4375,0.454375,0.758621,0.784483,0.886973,0.866858
0001be4a0fada2a7,activemil,/m/03bt1vf,1,0.324167,0.506667,0.39125,0.84375,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00020b30ea18e8a3,xclick,/m/03bt1vf,1,0.77375,0.968125,0.239054,0.972855,0,0,0,0,0,0.905625,0.77375,0.87375,0.968125,0.239054,0.379159,0.972855,0.610333
00033fc8c7b38582,xclick,/m/03bt1vf,1,0.4625,0.60375,0.3275,0.873333,0,0,0,0,0,0.53125,0.4625,0.5625,0.60375,0.3275,0.589167,0.873333,0.598333
0003c829740322e6,activemil,/m/03bt1vf,1,0.389583,0.522917,0.259375,0.617188,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0005a303db1c3260,xclick,/m/03bt1vf,1,0.697266,0.769531,0.607038,0.881232,0,0,0,0,0,0.697266,0.737305,0.769531,0.764648,0.863636,0.607038,0.857771,0.881232
0007b17e8626fa1a,xclick,/m/03bt1vf,1,0.681875,0.999375,0.368333,0.999167,0,0,0,0,0,0.965625,0.681875,0.97375,0.999375,0.368333,0.850833,0.999167,0.93
000a45560c338704,xclick,/m/03bt1vf,1,0.61125,0.6575,0.56015,0.836466,0,0,0,0,0,0.635625,0.61125,0.629375,0.6575,0.56015,0.675752,0.836466,0.646617
0010636567c3193d,xclick,/m/03bt1vf,1,0.501089,0.88671,0.356204,0.846715,0,0,0,0,0,0.714597,0.501089,0.823529,0.88671,0.356204,0.662774,0.846715,0.635036
00139f0212d7b575,xclick,/m/03bt1vf,1,0.705625,0.826875,0.255159,0.999062,0,0,0,0,0,0.774375,0.79,0.826875,0.705625,0.255159,0.999062,0.32833,0.523452
00147e50fff04167,xclick,/m/03bt1vf,1,0.046096,0.236124,0.275,0.768125,0,0,0,0,0,0.118532,0.046096,0.128881,0.236124,0.275,0.38,0.768125,0.76125
00147e50fff04167,xclick,/m/03bt1vf,1,0.172154,0.351834,0.3175,0.75375,0,0,0,0,0,0.260583,0.172154,0.254939,0.351834,0.3175,0.399375,0.75375,0.415625
0019d2d17cd585c4,xclick,/m/03bt1vf,1,0.2825,0.503125,0.4025,0.890833,0,0,0,0,0,0.2825,0.4325,0.503125,0.444375,0.83,0.4025,0.6925,0.890833
0019fc3636345806,xclick,/m/03bt1vf,1,0.258789,0.419922,0.273438,0.864583,0,0,0,0,0,0.394531,0.258789,0.400391,0.419922,0.273438,0.438802,0.864583,0.294271
0019fc3636345806,xclick,/m/03bt1vf,1,0.426758,0.533203,0.354167,0.822917,0,0,0,0,0,0.462891,0.426758,0.493164,0.533203,0.354167,0.731771,0.822917,0.582031
001a084d4e5a43ec,xclick,/m/03bt1vf,1,0.654375,0.901875,0.044256,0.917138,0,0,0,0,0,0.778125,0.901875,0.654375,0.7625,0.044256,0.47081,0.368173,0.917138
001a3e5d81f82032,xclick,/m/03bt1vf,1,0.296875,0.698438,0.23125,0.78125,0,0,0,0,0,0.515625,0.698438,0.296875,0.501563,0.23125,0.48125,0.54375,0.78125
0021e144437e8cee,xclick,/m/03bt1vf,1,0.411626,0.706991,0.06625,0.993125,0,0,0,0,0,0.509819,0.706991,0.411626,0.465043,0.06625,0.388125,0.43875,0.993125
002246e0f606be58,xclick,/m/03bt1vf,1,0.447467,0.493433,0.769375,0.834375,0,0,0,0,0,0.481238,0.447467,0.450281,0.493433,0.769375,0.8325,0.834375,0.784375
002246e0f606be58,xclick,/m/03bt1vf,1,0.648218,0.757974,0.769375,0.948125,0,0,0,0,0,0.704503,0.648218,0.724203,0.757974,0.769375,0.78125,0.948125,0.81875
0023d7454e96ca2e,xclick,/m/03bt1vf,1,0.825,0.950625,0.275444,0.882353,0,0,0,0,0,0.916875,0.950625,0.825,0.92,0.275444,0.372549,0.368814,0.882353
0029bb767cf1f6a7,xclick,/m/03bt1vf,1,0.390278,0.558333,0.168317,0.70297,0,0,0,0,0,0.390278,0.505556,0.558333,0.558333,0.482673,0.168317,0.420792,0.70297
002bbb1447bbb17a,xclick,/m/03bt1vf,1,0.486875,0.681875,0.132794,0.968421,0,0,0,0,0,0.558125,0.486875,0.58875,0.681875,0.132794,0.476923,0.968421,0.419433
002bbb1447bbb17a,xclick,/m/03bt1vf,1,0.681875,0.8675,0.148988,0.94332,0,0,0,0,0,0.75375,0.681875,0.77125,0.8675,0.148988,0.727935,0.94332,0.396761
002d2f46872d40f4,xclick,/m/03bt1vf,1,0.59375,0.680664,0.355783,0.866764,0,0,0,0,0,0.642578,0.59375,0.680664,0.654297,0.355783,0.502196,0.469985,0.866764
002e7ffc5cd92c44,xclick,/m/03bt1vf,1,0.8,0.891875,0.48641,0.852858,0,0,0,0,0,0.8525,0.8,0.805,0.891875,0.48641,0.561387,0.852858,0.633552
00327f903ea1834e,xclick,/m/03bt1vf,1,0.020336,0.483643,0.045,0.48875,0,0,0,0,0,0.251989,0.020336,0.48099,0.483643,0.045,0.48,0.486875,0.48875
00327f903ea1834e,xclick,/m/03bt1vf,1,0.030062,0.483643,0.5275,0.980625,0,0,0,0,0,0.269673,0.030062,0.476569,0.483643,0.5275,0.97125,0.980625,0.97875
00327f903ea1834e,xclick,/m/03bt1vf,1,0.513705,0.965517,0.046875,0.48875,0,0,0,0,0,0.71618,0.513705,0.965517,0.965517,0.046875,0.48875,0.486875,0.486875
00327f903ea1834e,xclick,/m/03bt1vf,1,0.524315,0.969938,0.52625,0.975,0,0,0,0,0,0.738285,0.524315,0.969938,0.969938,0.52625,0.975,0.975,0.975
